カード番号,位置,日本語キーワード,読み,英語キーワード,グループ,象意,色,方位,時,カードからのメッセージ,キセキのレシピ,アファメーション
1,①－１,私,わたし,I,１グループ,陰極,黒,北,子（0時）,あなたの宇宙はあなたがいなければ存在しません。 | ①の部屋では、あなたがあなたの本質である至福を思い出すための魔法が記されています。 | 宇宙をどう解釈してどう経験するかはすべてあなたに委ねられています。 | あなたらしくあなたの至福を体現するために、あなたは存在しています。,あなたが自分自身を世界で一番大切にすると決断しましょう。 | あなたが自分を大切にできると、他の人も同じように大切にできます。 | あなたが許可すれば、あなたは全てを手に入れられます。 | あなたが『ゆるゆる』することで、あなたの自然治癒力は高まります。,私が真実の愛を自分から出せば、受け取るものは真実の愛です。 | 私は私自身に無条件の愛を注ぎ、エゴのドラマの夢から目覚めます。 | 私は私を大切にするのと同じように全ての存在を大切にします。 | 私が自分の魂の声を聴く本当の私でいることが、私にとっても宇宙にとっても大きな喜びです。
2,②－１,自尊,じそん,Self-Esteem,,,,,,あなたの雰囲気はあなたの言葉よりも大きな影響力を持っています。 | あなたの雰囲気を③の部屋ではどのように宇宙と調和させて、空（くう）の意識になるかの魔法が記されています。 | エネルギー（氣）のコントロールができると、あなたが望むように雰囲気を調整できます。,あなたが自分を大切にすれば、ゆったりと落ち着いた雰囲気になります。 | あなたの落ち着いた雰囲気は、新緑のように癒しを感じさせます。 | あなたが環境を整えて良い雰囲気になれば、豊かさはあなたのものです。 | あなたが落ち着いた雰囲気を選択することは、宇宙とっての喜びです。,私がどのような雰囲気でいるかの選択は全て私に委ねられています。 | 私はグラウンディング、センタリングを行い、雰囲気を整えます。 | 私は雰囲気が思考や言葉以上に影響力があることを知っています。 | 私は呼吸を深くして、ゆったりした雰囲気でいることを選択します。
3,③－１,雰囲気,ふんいき,Atmosphere,,,,,,あなたは自分を本当の意味で大切にして、自分をエゴのドラマの夢から目覚めさせます。 | ②の部屋ではあなたが自分を本当の意味で大切にして思い出す『ゆるゆる』への道の魔法が記されています。 | あなたが自分を十分に満たすと、あなたの周囲へあなたらしい愛『ゆるゆる』が自然に広がっていきます。,あなたがあなた自身を大切にすることを許可してあげてください。 | あなたがあなたを大切にすることが、全てが末永く幸せになる第一歩です。 | あなたがあなたを大切にし始めれば、愛の循環が始まります。 | あなたの魂の青写真をキャンセルして、イマココの意図を上げましょう。,私は私自身を尊び大切にすることが、宇宙にとっても大きな喜びだと知っています。 | 私は私を満たして『ゆるゆる』を自然に広げていきます。 | 私は他人に対しても自分に向けた尊敬の念と同じ思いをもって接します。 | 私はプライドではなく本当の意味で自分を大切にします。
4,④－１,観察,かんさつ,Observation,,,,,,観察することによりあなたは『意図→ゆるゆる→行動』のマスターになります。 | ④の部屋では『意図→ゆるゆる→行動』をするための観察の魔法が記されています。 | あなたがありのままを観察をして行動ができるようになれば、あなたの人生は驚くようなスピードで変化していきます。,あなたが温かい目で観察すれば観察されたものは『ゆるゆる』になります。 | あなたが第三者の目で自分自身を観察すると気づきが生まれます。 | あなたは全て人がその人の正しさで判断していることを見つけます。 | あなたがあなたの望む未来から自分を観察をしましょう。,私は父性の本質『できるよ』、母性の本質『はぐくむ』の感性をもって全てを温かく観察します。 | 私は結果とともにその原因も時空を超えて観察します。 | 私は全てがひとつに戻るハッピーエンドな未来をイメージしながら観察します。このイメージが私の意図の現実化を早めます。
5,⑤－１,心臓,しんぞう,Heart,,,,,,あなたの宇宙の中心に位置するのは、あなたの心臓です。 | あなたの心臓は全ての答えを知っています。選択の時点で心臓がゆるむ感じがするか、キュッとちぢむ感じがするかに意識を向けてください。 | ⑤の部屋ではすべての中心であるあなたの心臓と、ワンネスが繋がる魔法が記されています。,あなたが心臓で選択をすると全ての存在が幸せになります。 | あなたの脳で考えた努力と忍耐を手放しましょう。 | あなたが『なんとなく、しっくりくる』メッセージに従えばＯＫです。 | あなたの心臓の出す周波数に応じた現実が、あなたの周りに展開します。,私は損得や合理性などの判断を手放し、心地よさやなんとなくしっくりくるという心臓からのサインに従って選択します。 | 私は私の宇宙の中心に自分の心臓があることを知っています。 | 私は心臓の波動を整えるために、自分の心地よさで選択をします。
6,⑥－１,波紋,はもん,Ripple,,,,,,あなたの上げた意図は不安と恐怖に消されない限り現実化します。 | ⑦の部屋では、不安と恐怖を見つめられるように離れる項目7つが記されていて、涅槃（ねはん）に至る魔法が記されています。 | あなたが⑦の部屋にあるものから離れることができた結果、あなたの意図の現実化が加速します。,あなたがこれら7つの項目から離れれば、不安と恐怖を見つめられます。 | あなたが不安と恐怖だと思っているものは、見つめれば消えます。 | あなたは7つのものを手放すと、本当の豊かさを手に入れます。 | あなたはその結果、平和と豊かさのある涅槃へ至ります。,私はエゴの欲求を満たす次元から、全体最適の次元へシフトします。 | 私は7つの項目から離れて次元をシフトします。 | 私はこの生き方が不安や恐怖を減らすことを知っています。 | 私は私の魂の声を聴いて私の未来を現実化させていきます。
7,⑦－１,離,り,Separation,,,,,,あなたの周りにはあなたの真実が波紋のように広がっていきます。 |  ⑥の部屋ではあなたの波紋を広げて、宇宙の究極の祝福魔法『よきかな～』の波紋を広げる方法が記されています。 |  あなたとあなたの周囲が末永く幸せに暮らす波紋を広げるマジックワードは『よきかな～』です。祝福の輪を広げていきましょう。,あなたが宇宙の中心です。あなたから波紋が広がります。 | あなたが『よきかな～』と祝福することが全てにとって喜びです。 | あなたが価値観の変化を体現すると、周囲にその波紋は広がっていきます。 | あなたの心臓に従った『ゆるゆる』な生き方へシフトしましょう。,私は私のエネルギーの状態が宇宙全体に波紋を広げ、影響を与えることを知っています。 | 私が 『ゆるゆる』の温かいエネルギーを維持すれば、自分の周りに幸せと豊かさの波紋が広がっていきます。 | 私は自分の心臓に答えを求めて心地よい波紋を広げていきます。
8,⑨－１,魂,たましい,Spirit,,,,,,全体最適の答えを知っているのはあなたの魂。魂はハイヤーセルフと言い換えることができます。 | ⑧の部屋ではあなたが魂の声を聴いて、しっくりするための魔法が記されています。 | 私たち魔法使いはあなたがサインに気づくように、時空を超えて様々な形であなたにメッセージを伝えています。,あなたが魂の声を聴けば、豊かな人間関係を育めます。 | あなたが魂の声を聴けば、健康で幸福な人生を歩めます。 | あなたは魂の声を聴く生き方へシフトできます。すべては選択です。 | あなたは体感覚を通して魂の声を聴くことができます。,私の魂は宇宙に直結していて、全体最適の答えを知っています。 | 私は頭脳で考えた自分最適ではなく、魂が示す全体最適を選びます。 | 私は魂の選択をして、奇跡が起きてくるのを楽しみます。 | 私は体感覚を通して魂の声を聴きます。
9,⑧－１,映像化,えいぞうか,Visualization,,,,,,⑨の部屋では意図が叶う映像化の魔法が記されています。 | 人間は意図したことを経験し、その経験を通して感情を味わうためにこの三次元に生きています。 | こんなこと意図してないのにとあなたが感じるのなら、その意図はあなたが生まれる前に意図したあなたの魂の青写真に刻まれています。,あなたが状況を五感を使って映像化するほど、意図は確実に現実化します。 | あなたが映像化したものは、不安と恐怖がなければ現実化します。 | あなたは生まれる前に意図として自分の魂の青写真を作りました。 | あなたは魂の青写真の代わりに、イマココの意図を上げられます。,私は自分の意図をありありと映像化して自分のキャンバスに描きます。 | 私はあげた意図は不安と恐怖がなければ現実化することを知っています。 | 私は今の現実を変えたいので、意図をあげて『ゆるゆる』して行動します。 | 私は不安と恐怖に対処することにより、望む意図を現実化させます。
10,①－2,愛,あい,Love,2グループ,第一チャクラ,赤,南東,坤（15時）,この宇宙に広がっている全てのエネルギーは愛です。 | ビックバン一秒前の原点にあったのは創造主の意識だけです。 | ビックバンから時間と空間が生まれました。 | その時あった材料が愛。宇宙はビックバンから138億年かけて、愛が広がり続けています。,あなたも宇宙も愛でできていて、愛は無限に存在しています。  | あなたが愛を経験するために、愛を忘れ愛を得るという体験が必要でした。 | あなたの愛は蝋燭の炎のように、灯しても減ったり消えたりすることなく増え続けます。,私は宇宙は愛でできていて、愛が無限であることを知っています。 | 私は私の生まれながらの性質である愛を私らしく表現していきます。 | 私は私を大切にし、私をありのまま無条件に愛します。 | 私は自分を愛すのと同じように、自分以外を愛します。もともとはひとつだったので、自分を愛すのと同じことです。
